payment_id,PaymentID,order_id,OrderID,customer_id,CustomerID,payment_date,PaymentDate,amount,Amount_USD,currency,Currency,payment_method,PaymentMethod,transaction_id,TransactionID,status,PaymentStatus,gateway,Gateway,card_last4,CardLast4,bank_name,BankName,refund_amount,RefundAmount,refund_date,RefundDate,is_fraud,IsFraud,fraud_score,FraudScore,processing_fee,ProcessingFee,net_amount,NetAmount,billing_country,BillingCountry,notes,tmp_pay
PAY00000011,PAY00000011,ORD0001438,ORD0001438,CUST001084,CUST001084,04-05-2021,"July 02, 2020",$27479.42,38481.08,,EUR,Credit Card,Credit Card,TXNK09ANHGYLA7Y,TXN1350879539,chargeback,Failed,stripe,Stripe,8772,2732,NULL,Wells Fargo,,0,,NaN,false,false,,0.8119,52.57 USD,$27.75,€27443.98,10027.12,United States of America,DE,N/A,
PAY00000012,PAY00000012,ORD0000754,ORD0000754,CUST001075,CUST001075,310722,2020-01-19,USD 10726.01,??,INR,GBP,BTC,PayPal,TXNWNOCDQIHGR49,TXN1973454710,null,Failed,Authorize.net,Stripe,4534,8689,HSBC,Chase,0,0,,,0,0,0.1755,0.1755,89.12,,£20663.58,,U.S.A,GB,,
PAY00000013,PAY00000013,ORD0002599,NaN,CUST001341,CUST001341,2020/11/16,2021/11/28,13206.55 USD,€40928.93,INR,USD,crypto,PayPal,TXNYQF9F4SNYWXY,TXN5016365794,refunded,Refunded,PayPal,PayPal,N/A,1701,Citi,BofA,0,0,,,No,No,0.614,0.614,18.29,€68.37,£40818.63,"$44,835.54",usa,DE,N/A,
PAY00000014,PAY00000014,ORD0001548,ORD0001548,CUST001838,CUST001838,11-05-2020,2020-01-20,$42305.4,30876.2,EUR,EUR,,Wire,TXNVVZLQA9XCOTC,TXN0641687000,refunded,Refunded,STRIPE,Stripe,3108,3201,BofA,N/A,0,0,,,False,False,0.403,0.403,-99.4,N/A,USD 19110.27,40222.64,United States,JP,Auto-processed,
PAY00000015,PAY00000015,ORD0003190,ORD0003190,CUST000494,null,11-04-2021,2021/06/05,,17865.59,$,EUR,Credit Card,Credit Card,TXNTPGZ2A79L55X,TXN4975208969,Pending,Failed,Braintree,Stripe,9548,3655,N/A,Wells Fargo,$12997.03,€11697.22,07/07/2023,2023-07-07,No,No,0.8138,0.8138,€26.1,$25.7,"$43,430.25",£27981.3,United States of America,GB,,
PAY00000016,PAY00000016,ORD0001110,ORD0001110,CUST000133,CUST000133,220920,,33526.59 USD,£7876.04,USD,USD,debit,PayPal,TXN6VEVKMTS7GDD,TXN6392242831,N/A,null,Stripe,,3898,5097,N/A,Chase,0,0,,,No,No,0.839,0.839,30.8,,"$23,783.08",$44885.55,US,IN,∑ special,
PAY00000017,PAY00000017,ORD0004788,ORD0004788,CUST001555,CUST001555,2020-06-17,2023-02-12,7790.37,"$33,778.77",$,USD,Credit Card,Credit Card,TXNDB0R9HGRX3II,TXN1418343243,chargeback,Refunded,,N/A,****,9168,Barclays,BofA,0,0,,,false,NaN,N/A,N/A,€22.86,,$14455.92,USD 10462.49,USA,FR,<b>note</b>,
PAY00000018,PAY00000018,ORD0003029,ORD0003029,CUST001677,NULL,05/25/2022,"August 03, 2023","$8,489.29",,USD,USD,ACH,PayPal,TXNK7JNGG42268O,TXN4933596734,Completed,Failed,Manual,Square,7374,8333,,Chase,0,0,,,False,False,0.5946,0.5946,USD 95.22,USD 88.53,£3795.0,€14276.3,USA,GB,Manual review,
PAY00000019,PAY00000019,ORD0001157,ORD0001157,CUST000333,CUST000333,"August 19, 2023",2020-02-07,41988.51,7457.46,NaN,EUR,cash,Wire,TXN6OXZD8PGXKO8,TXN0897721886,Pending,Failed,STRIPE,Square,9852,4076,Barclays,Wells Fargo,0,0,,,0,0,0.222,NaN,56.93 USD,41.56,USD 4414.08,$28409.09,null,FR,∑ special,
PAY00000020,PAY00000020,ORD0001979,ORD0001979,CUST000461,CUST000461,"November 15, 2023",NULL,€33128.15,$12479.32,INR,EUR,debit,Wire,TXNALEFBTE27HI5,TXN1757533157,failed,Refunded,Authorize.net,Square,2173,9826,Wells Fargo,BofA,0,0,,,No,No,0.5362,0.5362,3.21,52.05 USD,27810.31,4772.48,United States of America,JP,N/A,
PAY00000021,PAY00000021,ORD0004425,ORD0004425,,NULL,2023-01-06,2021-06-28,"$29,426.57",36461.58 USD,JPY,EUR,Credit Card,ACH,TXNHKMMUJBSOYTQ,NULL,,Refunded,Stripe,Square,9636,1707,Wells Fargo,Wells Fargo,0,0,,,No,No,0.2312,0.2312,52.89,55.63,USD 24785.67,1898.73,United States of America,GB,<b>note</b>,
PAY00000022,PAY00000022,ORD0004436,ORD0004436,CUST000822,CUST000822,,2022/04/15,USD 16383.38,4433.23,GBP,EUR,Credit Card,Wire,TXN7QTRZPNDT1HJ,TXN1785894210,FAILED,Refunded,PayPal,Stripe,9359,5671,NaN,Wells Fargo,0,0,,,false,N/A,0.1243,0.1243,$72.37,40.29,USD 24671.04,31920.21,usa,JP,Flagged,
PAY00000023,PAY00000023,ORD0000910,ORD0000910,NaN,CUST001867,2023-12-24,null,€17708.49,20756.08,EUR,EUR,wire,ACH,TXNV0TAXH3VCUDQ,TXN8629787107,COMPLETED,,STRIPE,Stripe,3610,2797,,BofA,0,0,,,false,false,0.4615,0.4615,60.97 USD,99.6,£44191.92,€6944.42,null,JP,Auto-processed,
PAY00000024,PAY00000024,ORD0002032,ORD0002032,null,CUST000320,270422,NULL,USD 47321.13,??,INR,GBP,credit_card,ACH,TXNUUJ0CTDG4V03,NaN,COMPLETED,Refunded,Manual,Square,null,,N/A,Wells Fargo,0,0,,,No,No,0.4282,0.4282,USD 84.37,$44.73,€14705.51,39996.2,United States of America,IN,Flagged,
PAY00000025,PAY00000025,ORD0001416,ORD0001416,CUST000749,CUST000749,2020/09/11,NULL,£36878.12,£5576.47,INR,GBP,crypto,,TXN3HT945ELR0S2,,Pending,NULL,Authorize.net,Stripe,1193,,Barclays,Wells Fargo,0,0,,,NaN,False,0.9882,0.9882,18.27,24.18,N/A,27085.24,United States,GB,Auto-processed,
PAY00000026,PAY00000026,ORD0002158,ORD0002158,CUST000065,CUST000065,041022,"June 04, 2020",46451.5,€16251.67,USD,EUR,crypto,PayPal,TXNB9SH8J26V9F3,NULL,failed,Refunded,,Square,8435,2917,,Chase,0,0,,,0,0,0.0735,0.0735,91.94,,£45418.31,16782.93,usa,FR,,
PAY00000027,PAY00000027,ORD0003259,ORD0003259,CUST001819,CUST001819,"March 09, 2022",170421,6293.52,£9693.43,€,USD,NaN,NaN,TXNR1EFOY6AB8WJ,TXN7410082540,N/A,Refunded,Square,PayPal,9100,2335,HSBC,BofA,NULL,0,,,,False,NULL,0.4967,$54.46,72.62,£23121.01,17472.26,United States of America,FR,<b>note</b>,
PAY00000028,PAY00000028,ORD0004646,ORD0004646,CUST001393,CUST001393,09/21/2020,09/12/2023,€43860.28,£13919.59,EUR,EUR,ACH,Credit Card,TXNVZAGMB94EP7J,TXN1349364877,Refunded,Pending,stripe,PayPal,8536,5621,HSBC,Chase,0,0,,,0,0,0.2301,0.2301,$42.65,14.08,7303.26,12208.19,U.S.A,FR,,
PAY00000029,PAY00000029,ORD0004314,ORD0004314,CUST001288,CUST001288,180123,2021/09/13,35779.18,8538.41,INR,USD,ACH,ACH,NaN,TXN3636197713,Completed,Pending,Authorize.net,Square,5136,7776,N/A,Wells Fargo,0,0,,,false,false,0.7163,0.7163,42.22,99.13,$311.58,€42827.33,US,JP,Auto-processed,
PAY00000030,PAY00000030,ORD0004633,ORD0004633,CUST001253,CUST001253,"March 11, 2022",01-07-2022,USD 35816.89,34737.73,USD,GBP,paypal,ACH,TXNBYI41P1DZB7A,TXN6842385386,Completed,Failed,Adyen,PayPal,8181,6149,Citi,NULL,0,0,,,false,NaN,null,0.9345,64.21,USD 42.46,£10148.41,"$4,480.73",,JP,Manual review,
PAY00000031,PAY00000031,ORD0002408,ORD0002408,CUST001355,CUST001355,2020/04/10,"May 29, 2020",£17609.33,"$14,795.27",JPY,USD,ACH,Wire,TXNG9D8DKO1AUEF,,failed,Refunded,STRIPE,Square,1855,1327,Barclays,Chase,NULL,0,,,No,No,0.5617,0.5617,18.51 USD,€70.49,12282.72,-20115.28,US,DE,Flagged,
PAY00000032,PAY00000032,ORD0000215,ORD0000215,CUST000970,CUST000970,2021/10/16,03/16/2020,17789.07,£889.24,JPY,GBP,credit_card,Wire,TXN1MJY8JV8E8MB,TXN2502308594,NULL,Pending,Square,Stripe,null,3997,Wells Fargo,BofA,0,0,,,0,0,null,NULL,$58.73,15.47,5549.83,39865.78,U.S.A,IN,Flagged,
PAY00000033,PAY00000033,ORD0000799,ORD0000799,CUST001674,CUST001674,2020-10-24,"September 23, 2021",£3603.84,USD 41264.28,JPY,USD,crypto,Wire,TXNKQ817Y2CMIEA,TXN4826732084,refunded,Pending,Braintree,Stripe,,9738,NULL,BofA,0,0,,,No,No,0.2717,0.2717,48.06,40.27,8800.97,$9303.01,United States of America,US,,
PAY00000034,PAY00000034,ORD0004706,ORD0004706,CUST000447,CUST000447,"March 05, 2021",091020,5141.55,1279.41,usd,GBP,NULL,N/A,TXNADST2C33VX9E,TXN0806935660,FAILED,Refunded,Stripe,Square,8672,5974,Barclays,BofA,0,0,,,No,No,0.8171,0.8171,$12.28,USD 35.66,16339.56,£8559.28,US,IN,Flagged,
PAY00000035,PAY00000035,ORD0004782,ORD0004782,CUST000706,CUST000706,2023-12-30,2023/07/30,USD 11223.24,USD 14060.41,USD,USD,crypto,PayPal,TXNGA1216QJMW0N,TXN1796629302,COMPLETED,Pending,PayPal,PayPal,4579,2732,Barclays,BofA,0,0,,,No,No,0.2899,0.2899,81.19,£57.89,40478.73,8175.15 USD,US,JP,Flagged,
PAY00000036,PAY00000036,ORD0004730,ORD0004730,,CUST001302,"October 02, 2020",2022/03/28,,USD 17865.34,€,EUR,ACH,Wire,TXNU6XJ4EX901ZF,TXN5461275040,FAILED,Completed,Braintree,PayPal,4783,3343,Barclays,null,0,0,,,false,false,0.2965,0.2965,$81.35,$53.15,USD 17141.18,35122.87,USA,JP,Auto-processed,
PAY00000037,PAY00000037,ORD0002415,ORD0002415,CUST000524,CUST000524,2020-12-02,2021-03-11,22756.67,$37526.49,EUR,USD,paypal,ACH,TXNU8EMIRLHWCF7,TXN1141907293,pending,Failed,Authorize.net,Stripe,2297,1188,Barclays,N/A,0,0,,,No,No,0.267,0.267,USD 92.68,N/A,$23569.56,£44740.55,US,IN,<b>note</b>,
PAY00000038,PAY00000038,ORD0004207,ORD0004207,CUST000293,CUST000293,"February 19, 2023",15-01-2021,null,€21017.86,$,EUR,ACH,Wire,NaN,TXN7896166206,Completed,Completed,Square,Stripe,2212,5471,Wells Fargo,BofA,0,0,,,false,false,0.8123,0.8123,$97.94,59.58 USD,5024.46,$2321.83,usa,US,,
PAY00000039,PAY00000039,N/A,ORD0002091,CUST000998,CUST000998,2020-07-12,120423,$48276.8,45727.25,JPY,GBP,debit,PayPal,TXN4JBAA903RS62,TXN7395188326,NaN,Completed,Stripe,PayPal,9164,6965,BofA,Chase,0,0,,,0,0,NULL,0.7796,$30.31,$55.56,$29153.28,£6558.03,United States of America,GB,<b>note</b>,
PAY00000040,PAY00000040,ORD0001576,ORD0001576,CUST001506,CUST001506,05-05-2023,140822,$8347.38,"$15,995.70",usd,USD,wire,Wire,TXNWV3WR5JDR9EA,TXN2814645944,COMPLETED,Completed,Manual,NaN,5523,7025,Chase,Chase,£555.53,£707.74,2020-12-10,2020-12-10,NaN,False,,0.6409,25.28,£13.83,£5890.75,14862.49 USD,,JP,∑ special,
PAY00000041,null,ORD0002970,ORD0002970,CUST001096,CUST001096,2020/02/20,010722,"$20,452.18",£13758.73,INR,GBP,debit,Wire,TXNTKLZZ2D9PSV8,TXN2881212157,Refunded,Completed,STRIPE,Square,9623,6969,Wells Fargo,Chase,0,0,N/A,,TRUE,TRUE,0.936,0.936,36.56,$20.62,24312.69,€42190.8,USA,DE,Manual review,
PAY00000042,PAY00000042,ORD0004661,ORD0004661,CUST001446,CUST001446,2022/09/08,090623,29053.53,£7131.78,GBP,GBP,credit_card,Credit Card,TXNQWR1QHCXZXLM,TXN9671992074,Failed,Completed,Authorize.net,Square,1765,8671,NULL,BofA,0,0,,null,0,null,0.3424,0.3424,$35.83,null,27428.44 USD,€27163.66,United States of America,JP,Auto-processed,
PAY00000043,PAY00000043,ORD0000447,ORD0000447,,CUST000023,071123,05-02-2020,38281.73,£33830.82,JPY,GBP,BTC,NaN,TXNMGU121J7IQCS,TXN7069510482,Failed,N/A,STRIPE,PayPal,1015,8151,Wells Fargo,Chase,0,0,,,0,0,0.7931,0.7931,USD 9.16,$47.62,"$36,326.96",34040.62 USD,USA,GB,Flagged,
PAY00000044,PAY00000044,ORD0002944,ORD0002944,CUST000945,CUST000945,12-11-2022,2020-01-01,€40273.08,32679.21,GBP,USD,paypal,ACH,TXNS0MDUX94Z3Z3,TXN0636609302,COMPLETED,Pending,stripe,Square,1140,2796,Barclays,null,0,0,,,No,No,0.8587,0.8587,82.42,,£3492.26,€37838.79,United States of America,JP,Auto-processed,
PAY00000045,PAY00000045,ORD0002662,ORD0002662,CUST001124,CUST001124,04/10/2021,2020-06-14,41738.13,£33536.3,EUR,GBP,credit_card,Wire,TXN76LBM2QPDTT1,TXN8216422371,chargeback,Refunded,Braintree,PayPal,5040,1839,BofA,Chase,NaN,0,,,false,false,0.5416,0.5416,59.82,€43.98,"$39,021.72",10122.13,U.S.A,GB,Manual review,
PAY00000046,PAY00000046,ORD9221146,NaN,NULL,CUST001614,2022-03-09,2020-09-07,USD 23454.03,$15091.61,JPY,GBP,N/A,Credit Card,,NaN,NaN,Refunded,PayPal,PayPal,hidden,1721,BofA,BofA,0,0,,,false,false,0.3149,0.3149,USD 22.33,67.29,USD 44652.54,£3413.68,United States,US,∑ special,
PAY00000047,,ORD0002815,ORD0002815,CUST000398,CUST000398,"November 24, 2022",2022-08-26,46994.42,€43883.06,JPY,USD,debit,Credit Card,TXNNDGXAI7LK101,TXN3577874205,failed,Failed,Stripe,PayPal,****,8249,Wells Fargo,,0,0,,,False,False,0.4821,0.4821,2.79,$77.88,18000.91,7544.82,United States of America,JP,Manual review,
PAY00000048,PAY00000048,ORD0003696,ORD0003696,CUST000246,CUST000246,2021-01-11,NaN,27736.21,41873.61,$,null,credit_card,PayPal,TXNUNIMLBVRCBAW,TXN2738569880,completed,Failed,PayPal,Square,6610,1984,Barclays,BofA,0,0,,,False,False,0.1729,0.1729,USD 86.59,null,€23919.73,£29380.03,US,US,<b>note</b>,
PAY00000049,PAY00000049,ORD0000377,ORD0000377,CUST000595,CUST000595,26-01-2022,2023/03/22,USD 22175.32,€22459.62,€,EUR,null,ACH,TXNORJ7ZXIDFQ5J,TXN8241634704,Completed,Refunded,Square,PayPal,2077,6145,HSBC,BofA,0,N/A,,,N/A,0,N/A,N/A,USD 71.19,-8999,€3991.7,N/A,usa,IN,Manual review,
PAY00000050,PAY00000050,ORD0001961,ORD0001961,CUST001313,CUST001313,2023/07/10,2023/02/12,USD 30859.78,35626.79,null,USD,Credit Card,Credit Card,TXNIDIWFE01WVQ9,N/A,COMPLETED,Refunded,Adyen,PayPal,hidden,3471,Citi,BofA,2475.65 USD,£14252.47,12/30/2020,2020-12-30,No,No,0.3864,0.3864,$81.87,$92.52,"$38,070.05",$18950.44,USA,US,<b>note</b>,NaN
PAY00000051,PAY00000051,ORD0004366,ORD0004366,CUST001687,CUST001687,2022-03-22,180221,USD 12345.7,"$48,585.71",GBP,EUR,ACH,ACH,TXNW7RAVYBD5T0J,TXN9559269450,failed,Completed,Braintree,Square,3444,9636,,Wells Fargo,0,0,,,False,False,0.187,0.187,64.07,$16.92,33686.65 USD,null,United States of America,FR,null,
PAY00000052,PAY00000052,ORD0001474,ORD0001474,CUST001782,CUST001782,"May 25, 2021",N/A,12094.21,38500.28 USD,usd,EUR,Credit Card,Credit Card,,TXN9111155576,completed,Completed,Adyen,Stripe,2659,8333,Barclays,Chase,0,0,,,0,0,0.7338,0.7338,€73.83,$52.44,"$24,368.99",£39081.05,U.S.A,FR,Auto-processed,
PAY00000053,PAY00000053,ORD0001213,ORD0001213,CUST001785,CUST001785,28-12-2022,05/12/2022,13005.02,24069.34,EUR,null,wire,ACH,TXN9A77CXUVMQTF,TXN1395332210,completed,Refunded,Braintree,Square,8577,1733,Barclays,BofA,null,0,,,false,false,0.9756,0.9756,£96.93,$10.16,47818.84 USD,3425.98,United States,DE,<b>note</b>,null
PAY00000054,PAY00000054,ORD0004528,ORD0004528,CUST000958,CUST000958,"June 19, 2023",18-02-2023,,47848.15,EUR,USD,paypal,Wire,TXNMONX9CEPE4DP,TXN5722745480,NaN,Failed,N/A,PayPal,5560,9987,Wells Fargo,Wells Fargo,0,0,,,0,0,0.8862,0.8862,0.74,52.25,8672.53,25817.03,US,FR,,
PAY00000055,PAY00000055,ORD0003577,ORD0003577,CUST001313,CUST001313,01/02/2023,"January 19, 2021",USD 43547.83,37219.13,usd,EUR,ACH,,N/A,TXN0123674326,,Pending,Adyen,PayPal,9482,4589,NULL,Wells Fargo,0,0,,,False,null,0.5812,0.5812,58.4,15.17,£48431.65,NULL,United States of America,GB,Manual review,
PAY00000056,PAY00000056,ORD0004721,ORD0004721,CUST000190,,2020/05/22,"June 12, 2020",23632.31,€41729.47,usd,EUR,paypal,Credit Card,TXNGFXGR21DJ4LI,TXN2077709091,COMPLETED,Completed,Braintree,Stripe,9994,2609,N/A,BofA,0,0,,null,No,No,0.6117,0.6117,$57.83,15.04,$30397.17,11497.35,US,null,Flagged,
PAY00000057,PAY00000057,ORD0000824,ORD0000824,CUST000114,CUST000114,"July 26, 2023","September 23, 2020",$10481.92,"$8,802.63",GBP,EUR,paypal,ACH,N/A,TXN0114640080,FAILED,Failed,stripe,Stripe,8073,6713,HSBC,Wells Fargo,0,0,,,False,False,0.8625,0.8625,56.81,99.52,£1348.12,10412.5 USD,United States of America,GB,Auto-processed,
PAY00000058,PAY00000058,ORD0002634,ORD0002634,CUST001984,CUST001984,2022-05-18,NaN,31095.91,€4592.77,GBP,EUR,credit_card,ACH,TXNCS0VSHK1XEVZ,N/A,Completed,Failed,Braintree,Square,7751,8866,HSBC,Chase,0,0,,,0,,0.3602,null,36.22 USD,$1.37,9934.21 USD,"$16,526.35",USA,US,Auto-processed,
PAY00000059,PAY00000059,ORD0001827,ORD0001827,CUST000262,NULL,181120,16-09-2023,USD 12256.79,15711.51,€,USD,cash,Credit Card,TXN0ARSLCAFJ054,TXN9635520127,Refunded,Refunded,Manual,PayPal,3212,5793,,BofA,0,0,,,false,false,0.0184,0.0184,68.54 USD,£75.93,13191.11,30636.76 USD,U.S.A,IN,,
PAY00000060,PAY00000060,ORD0001598,ORD0001598,CUST001594,CUST001594,310521,04/25/2022,"$39,803.83",19251.13,€,EUR,Credit Card,Wire,TXNE4JX6O08V2J0,TXN2645716807,Completed,Failed,Square,Stripe,4506,2710,N/A,BofA,0,0,,,No,No,0.0525,0.0525,55.61,£73.95,11612.51,USD 17545.04,NULL,FR,Flagged,
PAY00000061,PAY00000061,NULL,ORD0003842,CUST001612,CUST001612,09/01/2023,2023/08/19,1140.72,$49384.43,GBP,NULL,BTC,ACH,TXNWV3VPZ3CZERE,TXN9063859795,COMPLETED,Completed,Square,PayPal,6963,4506,HSBC,BofA,10445.88 USD,1487.01,06/20/2022,2022-06-20,No,No,0.7099,0.7099,,13.11 USD,18600.61,$7220.04,US,JP,Manual review,
PAY00000062,PAY00000062,ORD0002263,NULL,CUST000650,CUST000650,190120,01/10/2021,"$36,706.97",80.66,EUR,NULL,Credit Card,Wire,TXNA525QW73KKRQ,TXN2067984653,refunded,Failed,PayPal,Stripe,****,9209,BofA,Wells Fargo,£13476.61,null,12/28/2022,2022-12-28,False,False,NULL,0.3791,61.09,$27.63,€1445.09,£4753.96,U.S.A,FR,<b>note</b>,
PAY00000063,PAY00000063,ORD0002477,NULL,CUST001743,CUST001743,230220,2021-08-06,38755.64,47354.67 USD,EUR,EUR,Credit Card,Wire,TXN2TM1B4FEQAHJ,TXN4230315133,FAILED,Completed,Stripe,N/A,5059,7185,N/A,Chase,25678.51,USD 12753.27,10/02/2023,2023-10-02,false,,0.2022,0.2022,64.54,NaN,41697.97,$4659.54,United States of America,IN,∑ special,
PAY00000064,PAY00000064,ORD0002279,ORD0002279,CUST001751,CUST001751,111123,"December 02, 2022",£31258.02,26584.7,INR,EUR,debit,Wire,TXNRWNCAIR9CBFF,TXN2377524077,chargeback,Completed,Authorize.net,Square,9481,2464,Wells Fargo,N/A,0,0,,,0,0,0.7825,0.7825,27.49,,$6052.79,$9916.87,US,JP,,
PAY00000065,PAY00000065,ORD0002491,ORD0002491,CUST000742,CUST000742,291120,2022/02/07,£33350.51,18623.03,JPY,GBP,PayPal,Wire,TXNLHIECV83T9M8,TXN5361508529,refunded,Failed,Square,PayPal,9050,6187,HSBC,Wells Fargo,10834.67,14192.5,09/16/2020,2020-09-16,false,false,NULL,0.3805,£62.83,$17.68,42941.8,1645.54,US,JP,,
PAY00000066,PAY00000066,ORD0001715,ORD0001715,CUST001467,CUST001467,2021/02/08,2022-01-10,8871.48,6591.6,USD,USD,crypto,N/A,TXN4F047RC4JUJH,TXN1572243006,pending,Pending,Authorize.net,PayPal,8761,7083,null,Chase,0,0,,,0,0,N/A,0.7511,47.79,USD 96.34,15185.85 USD,7010.05,U.S.A,JP,,
PAY00000067,null,ORD0004335,ORD0004335,CUST001835,CUST001835,150420,130421,USD 33725.01,NaN,N/A,GBP,credit_card,PayPal,TXNL7N24PHQGC56,TXN2885954049,Pending,Refunded,STRIPE,Square,9786,7505,Barclays,Chase,0,0,,,0,0,0.6667,0.6667,65.08 USD,$34.56,€13467.42,31784.02,usa,US,,
PAY00000068,PAY00000068,ORD0003389,ORD0003389,CUST001462,CUST001462,"July 19, 2023",2020-08-09,43695.88 USD,£29674.22,EUR,GBP,Credit Card,ACH,NaN,TXN3037721266,failed,N/A,STRIPE,Square,1254,6225,,Chase,0,NULL,,,0,0,0.4964,,0.19,46.86,N/A,14490.92,United States,IN,<b>note</b>,
PAY00000069,PAY00000069,ORD0003720,ORD0003720,CUST000765,CUST000765,01/17/2020,04/11/2020,24119.96,"$16,888.60",GBP,USD,credit_card,ACH,TXNC4TBOHQY0BD7,TXN1310720225,pending,Refunded,PayPal,PayPal,4423,7585,N/A,Wells Fargo,0,0,,,N,N,0.7203,0.7203,$92.56,£10.51,€38108.82,$41622.78,United States of America,GB,∑ special,
PAY00000070,PAY00000070,ORD0000639,ORD0000639,CUST001634,CUST001634,"October 30, 2022",2023-11-04,$19379.99,45998.6 USD,USD,GBP,NaN,Wire,TXNXD09ZVNE8LNP,TXN6933614936,refunded,Pending,Adyen,Square,9547,5804,Citi,Chase,NaN,0,,,False,False,0.3179,0.3179,€99.6,76.12,$29962.24,7941.01,United States of America,IN,Flagged,
PAY00000071,PAY00000071,ORD0004263,ORD0004263,CUST001180,CUST001180,"May 28, 2022",2020/01/02,24914.83 USD,USD 45462.29,GBP,EUR,crypto,PayPal,TXNT8ZQ92QWBCLE,TXN8051304374,Completed,Pending,Adyen,Stripe,8045,4407,Barclays,BofA,0,0,,,0,0,0.9987,0.9987,99.97,USD 82.96,USD 39599.31,4594.16,USA,GB,∑ special,
